사건,신고,출동,구조,복귀,신고시각,출동시각,현장도착시각,구조완료시각,복귀시각,계절명,사고원인명,현장시군구명,소방서명
97,0:04,0:09,0:14,0:05,2023.1.12 13:58,2023.1.12 14:02,2023.1.12 14:11,2023.1.12 14:25,2023.1.12 14:30,겨울,기타 수난 ,광진구,119특수구조단
98,0:01,0:09,0:09,0:48,2023.1.12 17:23,2023.1.12 17:24,2023.1.12 17:33,2023.1.12 17:42,2023.1.12 18:30,겨울,침수,용산구,용산소방서
99,0:01,0:05,0:11,0:17,2023.1.12 17:46,2023.1.12 17:47,2023.1.12 17:52,2023.1.12 18:03,2023.1.12 18:20,겨울,기타 수난 ,서초구,서초소방서
100,0:01,0:05,0:02,0:06,2023.1.12 17:46,2023.1.12 17:47,2023.1.12 17:52,2023.1.12 17:54,2023.1.12 18:00,겨울,기타 수난 ,서초구,119특수구조단
101,0:02,0:07,0:11,0:09,2023.1.13 2:11,2023.1.13 2:13,2023.1.13 2:20,2023.1.13 2:31,2023.1.13 2:40,겨울,기타 수난 ,용산구,용산소방서
102,0:01,0:08,0:26,0:10,2023.1.13 6:35,2023.1.13 6:36,2023.1.13 6:44,2023.1.13 7:10,2023.1.13 7:20,겨울,침수,구로구,구로소방서
103,0:01,0:04,0:13,0:09,2023.1.13 7:38,2023.1.13 7:39,2023.1.13 7:43,2023.1.17 7:56,2023.1.17 8:05,겨울,침수,강남구,강남소방서
104,0:02,0:07,1:09,0:00,2023.1.13 12:42,2023.1.13 12:44,2023.1.13 12:51,2023.1.13 14:00,2023.1.13 14:00,겨울,침수,동대문구,동대문소방서
105,0:01,0:06,0:00,0:10,2023.1.13 13:18,2023.1.13 13:19,2023.1.13 13:25,2023.1.13 13:25,2023.1.13 13:35,겨울,기타 수난 ,광진구,광진소방서
106,0:01,0:05,0:21,0:08,2023.1.13 13:50,2023.1.13 13:51,2023.1.13 13:56,2023.1.13 14:17,2023.1.13 14:25,겨울,기타 수난 ,동작구,용산소방서
107,0:01,0:05,0:01,0:08,2023.1.13 13:50,2023.1.13 13:51,2023.1.13 13:56,2023.1.13 13:57,2023.1.13 14:05,겨울,기타 수난 ,동작구,119특수구조단
108,0:01,0:05,0:03,0:14,2023.1.13 14:27,2023.1.13 14:28,2023.1.13 14:33,2023.1.13 14:36,2023.1.13 14:50,겨울,기타 수난 ,송파구,광진소방서
109,0:01,0:05,0:11,0:01,2023.1.13 19:19,2023.1.13 19:20,2023.1.13 19:25,2023.1.13 19:36,2023.1.13 19:37,겨울,기타 수난 ,영등포구,마포소방서
110,0:01,0:05,0:00,0:05,2023.1.13 19:19,2023.1.13 19:20,2023.1.13 19:25,2023.1.13 19:25,2023.1.13 19:30,겨울,기타 수난 ,마포구,서대문소방서
111,0:02,0:04,0:14,0:05,2023.1.13 19:35,2023.1.13 19:37,2023.1.13 19:41,2023.1.13 19:55,2023.1.13 20:00,겨울,기타 수난 ,마포구,용산소방서
112,0:02,0:06,0:01,0:04,2023.1.13 19:35,2023.1.13 19:37,2023.1.13 19:43,2023.1.13 19:44,2023.1.13 19:48,겨울,기타 수난 ,마포구,마포소방서
113,0:01,0:09,0:00,0:10,2023.1.13 20:10,2023.1.13 20:11,2023.1.13 20:20,2023.1.13 20:20,2023.1.13 20:30,겨울,기타 수난 ,송파구,119특수구조단
114,0:01,0:04,0:05,0:20,2023.1.13 20:10,2023.1.13 20:11,2023.1.13 20:15,2023.1.13 20:20,2023.1.13 20:40,겨울,기타 수난 ,송파구,119특수구조단
115,0:01,0:06,0:01,0:07,2023.1.13 22:35,2023.1.13 22:36,2023.1.13 22:42,2023.1.13 22:43,2023.1.13 22:50,겨울,수색,영등포구,영등포소방서
116,0:01,0:12,0:00,0:16,2023.1.13 23:41,2023.1.13 23:42,2023.1.13 23:54,2023.1.13 23:54,2023.1.14 0:10,겨울,익수,성동구,119특수구조단
117,0:01,0:05,0:07,8:10,2023.1.13 23:41,2023.1.13 23:42,2023.1.13 23:47,2023.1.13 23:54,2023.1.14 8:04,겨울,익수,성동구,성동소방서
118,0:01,0:07,0:05,0:16,2023.1.13 23:41,2023.1.13 23:42,2023.1.13 23:49,2023.1.13 23:54,2023.1.14 0:10,겨울,익수,성동구,성동소방서
119,0:00,0:04,0:20,0:05,2023.1.14 2:46,2023.1.14 2:46,2023.1.14 2:50,2023.1.14 3:10,2023.1.14 3:15,겨울,기타 수난 ,영등포구,마포소방서
120,0:04,0:03,0:14,0:14,2023.1.14 3:00,2023.1.14 3:04,2023.1.14 3:07,2023.1.14 3:21,2023.1.14 3:35,겨울,기타 수난 ,송파구,119특수구조단
121,0:01,0:05,0:07,0:12,2023.1.14 15:20,2023.1.14 15:21,2023.1.14 15:26,2023.1.14 15:33,2023.1.14 15:45,겨울,기타 수난 ,용산구,영등포소방서
122,0:01,0:04,0:03,0:22,2023.1.14 15:20,2023.1.14 15:21,2023.1.14 15:25,2023.1.14 15:28,2023.1.14 15:50,겨울,기타 수난 ,용산구,119특수구조단
123,0:03,0:05,0:00,0:15,2023.1.14 17:30,2023.1.14 17:33,2023.1.14 17:38,2023.1.14 17:38,2023.1.14 17:53,겨울,기타 수난 ,송파구,강동소방서
124,0:03,0:05,0:12,0:05,2023.1.14 17:30,2023.1.14 17:33,2023.1.14 17:38,2023.1.14 17:50,2023.1.14 17:55,겨울,기타 수난 ,송파구,강동소방서
125,0:02,0:08,0:34,0:04,2023.1.14 20:21,2023.1.14 20:23,2023.1.14 20:31,2023.1.14 21:05,2023.1.14 21:09,겨울,침수,마포구,마포소방서
126,0:02,0:05,0:00,0:14,2023.1.15 2:19,2023.1.15 2:21,2023.1.15 2:26,2023.1.15 2:26,2023.1.15 2:40,겨울,기타 수난 ,강동구,강동소방서
127,0:02,0:02,0:02,0:10,2023.1.15 5:09,2023.1.15 5:11,2023.1.15 5:13,2023.1.15 5:15,2023.1.15 5:25,겨울,기타 수난 ,마포구,119특수구조단
128,0:02,0:09,0:20,0:10,2023.1.15 6:29,2023.1.15 6:31,2023.1.15 6:40,2023.1.15 7:00,2023.1.15 7:10,겨울,기타 수난 ,영등포구,영등포소방서
129,0:02,0:04,0:10,0:05,2023.1.15 6:29,2023.1.15 6:31,2023.1.15 6:35,2023.1.15 6:45,2023.1.15 6:50,겨울,기타 수난 ,영등포구,119특수구조단
130,0:04,0:05,0:12,0:07,2023.1.15 7:12,2023.1.15 7:16,2023.1.15 7:21,2023.1.15 7:33,2023.1.15 7:40,겨울,기타 수난 ,마포구,영등포소방서
131,0:04,0:05,0:10,0:09,2023.1.15 7:12,2023.1.15 7:16,2023.1.15 7:21,2023.1.15 7:31,2023.1.15 7:40,겨울,기타 수난 ,마포구,119특수구조단
132,0:01,0:03,0:00,0:32,2023.1.15 21:14,2023.1.15 21:15,2023.1.15 21:18,2023.1.15 21:18,2023.1.15 21:50,겨울,기타 수난 ,서초구,서초소방서
